BEGINN_DATUM;BEGINN_UHRZEIT;ZEITZONE_VON;ENDE_DATUM;ENDE_UHRZEIT;ZEITZONE_BIS;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE;PRIMAERENERGIEART
10.11.2025;15:00;UTC;10.11.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;1600;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
10.11.2025;23:00;UTC;11.11.2025;03:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
11.11.2025;23:00;UTC;12.11.2025;03:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
14.11.2025;23:00;UTC;15.11.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;3200;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
16.11.2025;19:00;UTC;16.11.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
16.11.2025;23:00;UTC;17.11.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
17.11.2025;23:00;UTC;18.11.2025;07:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;1600;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
21.11.2025;23:00;UTC;22.11.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
23.11.2025;19:00;UTC;23.11.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
02.12.2025;11:00;UTC;02.12.2025;15:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
07.12.2025;23:00;UTC;08.12.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
09.12.2025;03:00;UTC;09.12.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4000;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
09.12.2025;23:00;UTC;10.12.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;1600;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
10.12.2025;23:00;UTC;11.12.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
13.12.2025;15:00;UTC;13.12.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;1600;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
13.12.2025;23:00;UTC;14.12.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
14.12.2025;23:00;UTC;15.12.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
15.12.2025;23:00;UTC;16.12.2025;11:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;2400;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
17.12.2025;19:00;UTC;17.12.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
17.12.2025;23:00;UTC;18.12.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
18.12.2025;23:00;UTC;19.12.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
19.12.2025;23:00;UTC;20.12.2025;03:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
20.12.2025;23:00;UTC;21.12.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;3200;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
21.12.2025;23:00;UTC;22.12.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;3200;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
22.12.2025;23:00;UTC;23.12.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
29.12.2025;03:00;UTC;29.12.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4000;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
30.12.2025;03:00;UTC;30.12.2025;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;3200;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
02.01.2026;19:00;UTC;02.01.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
06.01.2026;23:00;UTC;07.01.2026;07:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;1600;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
08.01.2026;19:00;UTC;08.01.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
09.01.2026;03:00;UTC;09.01.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4000;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
10.01.2026;11:00;UTC;10.01.2026;19:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;1600;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
11.01.2026;15:00;UTC;11.01.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;1600;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
11.01.2026;23:00;UTC;12.01.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4000;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
12.01.2026;23:00;UTC;13.01.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;3200;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
13.01.2026;23:00;UTC;14.01.2026;07:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;1600;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
14.01.2026;23:00;UTC;15.01.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
15.01.2026;23:00;UTC;16.01.2026;15:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;2400;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
21.01.2026;03:00;UTC;21.01.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4000;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
21.01.2026;23:00;UTC;22.01.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
22.01.2026;23:00;UTC;23.01.2026;15:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;3200;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
23.01.2026;23:00;UTC;24.01.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
24.01.2026;23:00;UTC;25.01.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4000;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
25.01.2026;23:00;UTC;26.01.2026;07:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;1600;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
27.01.2026;19:00;UTC;27.01.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
27.01.2026;23:00;UTC;28.01.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;3200;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
28.01.2026;23:00;UTC;29.01.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;1600;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
29.01.2026;23:00;UTC;30.01.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
30.01.2026;23:00;UTC;31.01.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
31.01.2026;23:00;UTC;01.02.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
01.02.2026;23:00;UTC;02.02.2026;07:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;1600;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
03.02.2026;19:00;UTC;03.02.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
04.02.2026;05:00;UTC;04.02.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;3600;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
05.02.2026;11:00;UTC;05.02.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;2400;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
06.02.2026;11:00;UTC;06.02.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;2400;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
06.02.2026;23:00;UTC;07.02.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;2400;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
07.02.2026;23:00;UTC;08.02.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
10.02.2026;15:00;UTC;10.02.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;1600;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
12.02.2026;03:00;UTC;12.02.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4000;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
15.02.2026;07:00;UTC;15.02.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;3200;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
27.03.2026;15:00;UTC;27.03.2026;23:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;1600;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
29.03.2026;14:00;UTC;29.03.2026;22:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;1600;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
30.03.2026;10:00;UTC;30.03.2026;22:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;2400;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
31.03.2026;02:00;UTC;31.03.2026;06:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
03.04.2026;14:00;UTC;03.04.2026;22:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;1600;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
04.04.2026;18:00;UTC;04.04.2026;22:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
04.04.2026;22:00;UTC;05.04.2026;22:00;UTC;Leistungsvorhaltung für kurativen Redispatch;Wirkleistungseinspeisung erhöhen;200;200;4800;Amprion;TenneT DE & Amprion;Vianden;Erneuerbar
