"Month","Financial compensation for balance responsible parties","Renewable sources","Conventional power plants"
"Jul 2022",55.56,2.25,153.21
"Aug 2022",26.84,1.35,12.89
"Sep 2022",30.01,1.49,180.05
"Oct 2022",17.29,14.31,175.46
"Nov 2022",31.1,18.36,292.13
"Dec 2022",5.99,0.38,159.96
"Jan 2023",53.49,64.1,231.2
"Feb 2023",47.06,61.46,200.19
"Mar 2023",37.74,63.99,168.34
"Apr 2023",17.49,47.55,151.15
"May 2023",19.06,36.45,93.41
"Jun 2023",12.86,24.55,51.27
"Jul 2023",12,57.54,153.35
"Aug 2023",31.88,33.29,59.18
"Sep 2023",9.91,32.13,93.94
"Oct 2023",35.77,69.54,164.75
"Nov 2023",25.01,46.14,106.98
"Dec 2023",16.65,43.66,88.96
"Jan 2024",36.14,51.44,113.3
"Feb 2024",23,50.04,68.26
"Mar 2024",14.3,22.07,40.5
"Apr 2024",13.26,46.54,38.5
"May 2024",22.93,83.64,73.18
"Jun 2024",9.56,31.8,60.93
"Jul 2024",6.94,30.84,23.92
"Aug 2024",8.51,34.93,49.81
"Sep 2024",24.2,62.65,90.33
"Oct 2024",13.12,44.29,89.35
"Nov 2024",18.62,32.23,138.52
"Dec 2024",48.67,63.93,207.24
"Jan 2025",23.94,30.45,193.48
"Feb 2025",27.51,11.27,99.61
"Mar 2025",7.64,28.89,71.07
"Apr 2025",10.39,33.68,34.69
"May 2025",11.12,53.97,36.46
"Jun 2025",14.8,71.29,72.52
"Jul 2025",17.87,30.5,46.72
"Aug 2025",12.63,46.3,18.47
"Sep 2025",32.79,49.97,76.03
"Oct 2025",33.74,48.75,81.58
"Nov 2025",26.93,15.85,106.39
"Dec 2025",21.23,14.27,100.82
"Jan 2026",30.1,17.24,102.42
"Feb 2026",13.43,11.39,43.93
"Mar 2026",15.83,26.12,76.02
"Apr 2026",10.27,78.69,53.37
