"Month","Volume of energy","Costs"
"Jul 2022",1469.83,211.02
"Aug 2022",715.9,41.09
"Sep 2022",1009.26,211.55
"Oct 2022",1596.97,207.06
"Nov 2022",2682.9,341.6
"Dec 2022",1933.13,166.33
"Jan 2023",3344.9,348.8
"Feb 2023",3165.9,308.71
"Mar 2023",2868.7,270.07
"Apr 2023",2325.72,216.19
"May 2023",2051.44,148.93
"Jun 2023",1045.47,88.69
"Jul 2023",2327.65,222.88
"Aug 2023",1478.34,124.35
"Sep 2023",1509.46,135.99
"Oct 2023",2846.5,270.06
"Nov 2023",2175.77,178.13
"Dec 2023",1929.69,149.27
"Jan 2024",2992.57,200.87
"Feb 2024",1883.11,141.3
"Mar 2024",1201.4,76.87
"Apr 2024",1262.26,98.3
"May 2024",2295.95,179.75
"Jun 2024",1167.84,102.28
"Jul 2024",876.53,61.7
"Aug 2024",1097.22,93.25
"Sep 2024",2091.56,177.18
"Oct 2024",2032.73,146.75
"Nov 2024",2397.16,189.37
"Dec 2024",3493.69,319.84
"Jan 2025",3133.37,245.14
"Feb 2025",2186.49,134.49
"Mar 2025",1453.4,106.46
"Apr 2025",1244.65,78.47
"May 2025",1290.37,101.22
"Jun 2025",2067.6,158.53
"Jul 2025",1436.52,95.1
"Aug 2025",1099.8,77.62
"Sep 2025",2239.49,158.87
"Oct 2025",2499.13,163.69
"Nov 2025",2470.61,145.2
"Dec 2025",2273.1,140.36
"Jan 2026",2993.93,151.5
"Feb 2026",1235.27,63.88
"Mar 2026",1760.7,124.07
"Apr 2026",1581.66,136.48
